Proccess Started: 09/05/2019 18:40:38

Serial Number: 1, Color: Red, Destination Los Angeles
Serial Number: 2, Color: Green, Destination New York
Serial Number: 3, Color: Blue, Destination New York
Serial Number: 3, Color: Blue, Destination New York
Serial Number: 4, Color: Green, Destination Miami
Serial Number: 5, Color: Blue, Destination New Orleans
Serial Number: 8, Color: Blue, Destination New Orleans
Serial Number: 9, Color: Green, Destination New Orleans
Serial Number: 9, Color: Green, Destination New Orleans
Serial Number: 10, Color: Green, Destination New Orleans
Serial Number: 10, Color: Green, Destination New Orleans
Serial Number: 10, Color: Green, Destination New Orleans
Serial Number: 11, Color: Green, Destination Miami
Serial Number: 12, Color: Blue, Destination Los Angeles
Serial Number: 13, Color: Blue, Destination New York
Serial Number: 13, Color: Blue, Destination New York
Serial Number: 14, Color: Green, Destination Miami
Serial Number: 15, Color: Red, Destination Los Angeles
Serial Number: 16, Color: Red, Destination New York
Serial Number: 18, Color: Blue, Destination Los Angeles
Serial Number: 19, Color: Blue, Destination Miami
Serial Number: 21, Color: Green, Destination Miami
Serial Number: 23, Color: Blue, Destination New Orleans
Serial Number: 25, Color: Blue, Destination New York
Serial Number: 25, Color: Blue, Destination New York
Serial Number: 26, Color: Red, Destination Los Angeles
Serial Number: 27, Color: Green, Destination Miami
Serial Number: 28, Color: Red, Destination New York
Serial Number: 28, Color: Red, Destination New York
Serial Number: 29, Color: Blue, Destination Miami
Serial Number: 30, Color: Green, Destination Los Angeles
Serial Number: 51, Color: Blue, Destination Los Angeles
Serial Number: 52, Color: Blue, Destination New Orleans
Serial Number: 61, Color: Blue, Destination New Orleans
Serial Number: 56, Color: Green, Destination Los Angeles
Serial Number: 49, Color: Red, Destination Los Angeles
Serial Number: 34, Color: Red, Destination Miami
Serial Number: 34, Color: Red, Destination Miami
Serial Number: 34, Color: Red, Destination Miami
Serial Number: 36, Color: Blue, Destination Miami
Serial Number: 39, Color: Red, Destination Los Angeles
Serial Number: 39, Color: Red, Destination Los Angeles
Serial Number: 62, Color: Red, Destination Miami
Serial Number: 40, Color: Blue, Destination New Orleans
Serial Number: 41, Color: Blue, Destination Los Angeles
Serial Number: 53, Color: Blue, Destination Miami
Serial Number: 54, Color: Blue, Destination Miami
Serial Number: 59, Color: Blue, Destination New Orleans
Serial Number: 63, Color: Blue, Destination Los Angeles
Serial Number: 66, Color: Blue, Destination New York
Serial Number: 70, Color: Blue, Destination Miami
Serial Number: 71, Color: Blue, Destination Los Angeles
Serial Number: 80, Color: Blue, Destination Los Angeles
Serial Number: 82, Color: Blue, Destination Los Angeles
Serial Number: 86, Color: Blue, Destination Los Angeles
Serial Number: 90, Color: Blue, Destination Los Angeles
Serial Number: 95, Color: Blue, Destination Los Angeles
Serial Number: 104, Color: Blue, Destination Miami
Serial Number: 106, Color: Blue, Destination New York
Serial Number: 108, Color: Blue, Destination Miami
Serial Number: 113, Color: Blue, Destination Miami
Serial Number: 114, Color: Blue, Destination Miami
Serial Number: 119, Color: Blue, Destination New York
Serial Number: 120, Color: Blue, Destination New York
Serial Number: 122, Color: Blue, Destination New York
Serial Number: 126, Color: Blue, Destination Los Angeles
Serial Number: 58, Color: Green, Destination New Orleans
Serial Number: 42, Color: Red, Destination Los Angeles
Serial Number: 42, Color: Red, Destination Los Angeles
Serial Number: 49, Color: Red, Destination Los Angeles
Serial Number: 42, Color: Red, Destination Los Angeles
Serial Number: 49, Color: Red, Destination Los Angeles
Serial Number: 43, Color: Green, Destination Miami
Serial Number: 48, Color: Blue, Destination Los Angeles
Serial Number: 31, Color: Blue, Destination New Orleans
Serial Number: 55, Color: Green, Destination New Orleans
Serial Number: 55, Color: Green, Destination New Orleans
Serial Number: 55, Color: Green, Destination New Orleans
Serial Number: 60, Color: Green, Destination New Orleans
Serial Number: 57, Color: Green, Destination New York
Serial Number: 64, Color: Green, Destination New York
Serial Number: 68, Color: Green, Destination Los Angeles
Serial Number: 69, Color: Green, Destination New Orleans
Serial Number: 72, Color: Green, Destination New Orleans
Serial Number: 73, Color: Green, Destination New Orleans
Serial Number: 74, Color: Green, Destination New Orleans
Serial Number: 78, Color: Green, Destination New York
Serial Number: 79, Color: Green, Destination Miami
Serial Number: 81, Color: Green, Destination New Orleans
Serial Number: 83, Color: Green, Destination Los Angeles
Serial Number: 84, Color: Green, Destination Miami
Serial Number: 85, Color: Green, Destination New York
Serial Number: 87, Color: Green, Destination Miami
Serial Number: 88, Color: Green, Destination Los Angeles
Serial Number: 89, Color: Green, Destination Miami
Serial Number: 92, Color: Green, Destination New Orleans
Serial Number: 96, Color: Green, Destination Los Angeles
Serial Number: 102, Color: Green, Destination Los Angeles
Serial Number: 103, Color: Green, Destination New York
Serial Number: 107, Color: Green, Destination Miami
Serial Number: 110, Color: Green, Destination New Orleans
Serial Number: 111, Color: Green, Destination Los Angeles
Serial Number: 112, Color: Green, Destination Miami
Serial Number: 115, Color: Green, Destination New Orleans
Serial Number: 116, Color: Green, Destination New York
Serial Number: 118, Color: Green, Destination Miami
Serial Number: 123, Color: Green, Destination Miami
Serial Number: 127, Color: Green, Destination Los Angeles
Serial Number: 50, Color: Red, Destination New York
Serial Number: 65, Color: Red, Destination Los Angeles
Serial Number: 67, Color: Red, Destination New York
Serial Number: 75, Color: Red, Destination New Orleans
Serial Number: 76, Color: Red, Destination New Orleans
Serial Number: 77, Color: Red, Destination Miami
Serial Number: 91, Color: Red, Destination Los Angeles
Serial Number: 93, Color: Red, Destination New York
Serial Number: 94, Color: Red, Destination Los Angeles
Serial Number: 97, Color: Red, Destination Miami
Serial Number: 98, Color: Red, Destination Miami
Serial Number: 99, Color: Red, Destination New Orleans
Serial Number: 100, Color: Red, Destination Los Angeles
Serial Number: 101, Color: Red, Destination New Orleans
Serial Number: 105, Color: Red, Destination Los Angeles
Serial Number: 109, Color: Red, Destination New York
Serial Number: 117, Color: Red, Destination Miami
Serial Number: 121, Color: Red, Destination New Orleans
Serial Number: 124, Color: Red, Destination New Orleans
Serial Number: 125, Color: Red, Destination New Orleans
Serial Number: 128, Color: Green, Destination Los Angeles
Serial Number: 129, Color: Green, Destination Miami
Serial Number: 130, Color: Red, Destination New Orleans
Serial Number: 131, Color: Red, Destination New Orleans
Serial Number: 132, Color: Red, Destination Los Angeles
Serial Number: 133, Color: Blue, Destination Miami
Serial Number: 134, Color: Blue, Destination New Orleans
Serial Number: 135, Color: Green, Destination New York
Serial Number: 136, Color: Blue, Destination Los Angeles
Serial Number: 137, Color: Green, Destination New York
Serial Number: 138, Color: Red, Destination New Orleans
Serial Number: 139, Color: Green, Destination New York
Serial Number: 140, Color: Red, Destination New York
